"filename", "language", "JavaScript", "CSS", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\handle-icon.svg", "XML", 0, 0, 4, 0, 0, 1, 5
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\happy-illustration.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\linkedin-icon.svg", "XML", 0, 0, 4, 0, 0, 1, 5
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\love-illustration.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\professional-illustration.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\prototype-illustration.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\quotes-l.svg", "XML", 0, 0, 4, 0, 0, 1, 5
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\quotes-r.svg", "XML", 0, 0, 4, 0, 0, 1, 5
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\reliable-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\server-illustration-2.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\server-illustration.svg", "XML", 0, 0, 80, 0, 0, 1, 81
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\server-redundancy-illustration.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\server-secure-illustration.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\shield-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\shop-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\signup-illustration.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\simple-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\star-icon.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\stats-illustration.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\support-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-1.svg", "XML", 0, 0, 11, 0, 0, 1, 12
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-10.svg", "XML", 0, 0, 6, 0, 0, 1, 7
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-2.svg", "XML", 0, 0, 11, 0, 1, 1, 13
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-3.svg", "XML", 0, 0, 11, 0, 0, 1, 12
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-4.svg", "XML", 0, 0, 7, 0, 0, 1, 8
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-5.svg", "XML", 0, 0, 7, 0, 0, 1, 8
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-6.svg", "XML", 0, 0, 11, 0, 0, 1, 12
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-7.svg", "XML", 0, 0, 7, 0, 0, 1, 8
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-8.svg", "XML", 0, 0, 7, 0, 0, 1, 8
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\svg-decorator-blob-9.svg", "XML", 0, 0, 7, 0, 0, 1, 8
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\team-illustration-2 copy.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\team-illustration-2.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\team-illustration-3.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\team-illustration.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\twitter-icon.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\syedh\OneDrive\Desktop\Antive\src\OfficialLandingPage\Sections\PlainServices\images\undraw_Online_chat_re_c4lx.svg", "XML", 0, 0, 1, 0, 0, 0, 1
