Date : 2021-08-30 14:16:19
Directory : c:\Users\syedh\OneDrive\Desktop\antify\src
Total : 152 files,  8382 codes, 1271 comments, 1044 blanks, all 10697 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\syedh\OneDrive\Desktop\antify\src\LandingPage\images\svg-5.svg                       | XML        |         72 |          0 |          1 |         73 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Login\Login.css                                    | CSS        |        261 |         20 |         31 |        312 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Login\Login.js                                     | JavaScript |         95 |         93 |         25 |        213 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Login\image\login.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Login\index.js                                     | JavaScript |         27 |          0 |          3 |         30 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Login\toastInfo.js                                 | JavaScript |         14 |          0 |          1 |         15 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\ChakraNav\NavHoverBox.js            | JavaScript |         39 |          0 |          1 |         40 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\ChakraNav\NavItem.js                | JavaScript |         47 |          0 |          1 |         48 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\ChakraNav\OfficialNavChakra.js      | JavaScript |        131 |          5 |          7 |        143 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\ChakraNav\globals.css               | CSS        |        105 |          0 |         16 |        121 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\ChakraNav\pages\OfficialSidebar.js  | JavaScript |         13 |          0 |          3 |         16 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\OfficialNav.js                      | JavaScript |        295 |         21 |         26 |        342 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\assets\All Mail.svg                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\assets\Forum.svg                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\assets\draft.svg                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\assets\home-solid.svg               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\assets\important.svg                | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\assets\inbox.svg                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\assets\logo.svg                     | XML        |         87 |          0 |          1 |         88 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\assets\meeting.svg                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\assets\power-off-solid.svg          | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\assets\sceduled.svg                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\assets\sent.svg                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\assets\settings.svg                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\assets\snooze.svg                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\assets\social.svg                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\assets\spam.svg                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\assets\starred.svg                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\OfficialNavbar\assets\trash.svg                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\PageNotFound\NotFoundElements.js                   | JavaScript |         20 |          0 |          3 |         23 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\PageNotFound\PageNotFound.css                      | CSS        |         35 |          0 |          6 |         41 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\PageNotFound\PageNotFound.js                       | JavaScript |         40 |          0 |          4 |         44 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\PrivateRoute.js                                    | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Sidebar&Header\Header\HeaderComponent.css          | CSS        |        121 |          8 |         23 |        152 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Sidebar&Header\Header\index.js                     | JavaScript |        103 |          6 |         10 |        119 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Sidebar&Header\SideNavbar\SideElements.js          | JavaScript |        178 |         15 |         23 |        216 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Sidebar&Header\SideNavbar\SideMenu.js              | JavaScript |         33 |          0 |          6 |         39 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Sidebar&Header\SideNavbar\SideNavBar.css           | CSS        |          5 |          1 |          1 |          7 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Sidebar&Header\SideNavbar\SidebarData.js           | JavaScript |         43 |          0 |          5 |         48 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Sidebar&Header\SideNavbar\index.js                 | JavaScript |        150 |          4 |         16 |        170 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Signin\Form.css                                    | CSS        |        261 |         17 |         30 |        308 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Signin\FormSignup.js                               | JavaScript |         81 |         94 |         19 |        194 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Signin\SigninElements.js                           | JavaScript |          4 |          0 |          1 |          5 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Signin\context\AuthContext.js                      | JavaScript |         50 |        106 |         28 |        184 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Signin\firebase.js                                 | JavaScript |         34 |          0 |          7 |         41 |
